Applied SPL (dB),Frequency (Hz),Read Level (dB),Expected Level (dB),Deviation (dB),Type 2 Upper Tolerence (dB),Type 2 ULower Tolerence (dB),Pass/Fail
94,63,81.3436218325305,94,-12.6563781674695,2.5,2.5,FAIL
94,80,95.26958432326320,94,1.2695843232632,2.5,2.5,PASS
94,100,95.56515419510770,94,1.5651541951077,2,2,PASS
94,125,93.44370904706900,94,-0.556290952931,2,2,PASS
94,160,92.9052231146307,94,-1.0947768853693,2,2,PASS
94,200,92.6228107567907,94,-1.3771892432093,2,2,PASS
94,250,93.50833049360980,94,-0.4916695063902,1.9,1.9,PASS
94,315,94.81999037358600,94,0.819990373586,1.9,1.9,PASS
94,400,92.61259693218640,94,-1.3874030678136,1.9,1.9,PASS
94,500,92.453967624168,94,-1.546032375832,1.9,1.9,PASS
94,630,93.02199121456060,94,-0.9780087854394,1.9,1.9,PASS
94,800,92.09271098828830,94,-1.9072890117117,1.9,1.9,PASS
94,1000,94.9554098529991,94,0.9554098529991,1.4,1.4,PASS
94,1250,93.9821720074736,94,-0.0178279925264,1.9,1.9,PASS
94,1600,92.63255076232560,94,-1.3674492376744,2.6,2.6,PASS
94,2000,92.6673208542035,94,-1.3326791457965,2.6,2.6,PASS
94,2500,92.59588956130630,94,-1.4041104386937,3.1,3.1,PASS
94,3150,94.25230179943930,94,0.2523017994393,3.1,3.1,PASS
94,4000,93.1357879927416,94,-0.8642120072584,3.6,3.6,PASS
94,5000,95.16480000024910,94,0.6648000002491160,4.1,4.1,PASS
94,6300,98.17595162350970,94,4.1759516235097,5.1,5.1,PASS
94,8000,97.65597977484490,94,3.6559797748449,5.6,5.6,PASS
94,10000,99.276285438276,94,5.276285438276,5.6,NA,PASS
94,12500,100.893183187847,94,6.893183187847,6,NA,FAIL
94,16000,98.95639424210180,94,4.9563942421018,6,NA,PASS